1,loperamide,1
2,Colesevelam,2
3,Lomotil,3
4,Imodium,4
5,Dapsone,5
6,Escitalopram,6
7,Clonazepam,7
8,Oxytrol,8
9,Pregabalin,9
10,Bupropion ,1
11,Levonorgestrel,2
12,Florastor,3
13,Pepto-Bismol,4
14,Nortriptyline,5
15,Keppra,6
16,Ropinirole,7
17,Levaquin,8
18,Desvenlafaxine,9
19,Amitriptyline,1
20,Metronidazole,2
21,Risperidone,3
22,Simponi Aria,4
23,Elavil,5
24,Prozac,6
25,Lamisil,7
26,Zoloft,8
27,Fexofenadine,9
28,Vortioxetine,1
29,Minastrin 24 Fe,2
30,Adzenys XR-ODT,3
31,Clarithromycin,1
32,Escitalopram,2
33,Pentosan polysulfate sodium,3
34,Lamictal,4
35,Ramipril,5
36,Drospirenone ,6
37,Escitalopram,7
38,Clonazepam,8
39,Tegaserod,9
40,Ashlyna,4
41,Lisdexamfetamine,5
42,Tioconazole,6
43,Levofloxacin,9
44,Tadalafil,1
45,Ethinyl estradiol ,2
46,Linzess,3
47,Otezla,4
48,Victoza,5
49,Methadone,6
50,Metronidazole,7
51,Atomoxetine,8
52,Copper,7
53,Chlorhexidine,8
54,Suboxone,9
55,Tramadol,1
56,Mirena,2
57,Vyvanse,3
58,Tri-Luma,4
59,Methadone,5
60,Azithromycin,6
61,Venlafaxine,7
62,Amitriptyline,8
63,Levonorgestrel,9
64,Ethinyl estradiol / levonorgestrel,1
65,Campral,2
66,Bactrim DS,3
67,Linzess,4
68,Buprenorphine,5
69,Senna Plus,6
70,Flomax,7
71,Ortho Evra,8
72,Ethinyl estradiol / levonorgestrel,9
73,Venlafaxine,1
74,Adderall,2
75,Terbinafine,3
76,Gabapentin,4
77,Secobarbital,5
78,Aluminum chloride hexahydrate,6
79,Asenapine,7
80,Penicillin v potassium,8
81,Lutera,9
82,Kyleena,1
83,Ethinyl estradiol ,2
84,Toradol,3
85,Clarithromycin,4
86,Aluminum chloride hexahydrate,5
87,Gabapentin,6
88,Plan B One-Step,7
89,Levsin SL,8
90,Benzoyl peroxide ,9
91,Human papillomavirus vaccine,1
92,Lortab,2
93,Zoloft,3
94,Dexmethylphenidate,4
95,Catapres,5
96,NuvaRing,6
97,Sertraline,7
98,Cyclobenzaprine,8
99,Harvoni,9
100,Lansoprazole,1
101,Medroxyprogesterone,2
